# source_url=https://www.huygens-fokker.org/bpsite/intervals.html
# extracted_utc=2026-02-17T00:00:00Z
ratio	name	source_page	source_url	extraction_method
27/25	BP first	The Bohlen-Pierce Site: BP Interval Properties	https://www.huygens-fokker.org/bpsite/intervals.html	bp_intervals_table
25/21	BP second	The Bohlen-Pierce Site: BP Interval Properties	https://www.huygens-fokker.org/bpsite/intervals.html	bp_intervals_table
9/7	BP third	The Bohlen-Pierce Site: BP Interval Properties	https://www.huygens-fokker.org/bpsite/intervals.html	bp_intervals_table
7/5	BP fourth	The Bohlen-Pierce Site: BP Interval Properties	https://www.huygens-fokker.org/bpsite/intervals.html	bp_intervals_table
75/49	BP fifth	The Bohlen-Pierce Site: BP Interval Properties	https://www.huygens-fokker.org/bpsite/intervals.html	bp_intervals_table
5/3	BP sixth	The Bohlen-Pierce Site: BP Interval Properties	https://www.huygens-fokker.org/bpsite/intervals.html	bp_intervals_table
9/5	BP seventh	The Bohlen-Pierce Site: BP Interval Properties	https://www.huygens-fokker.org/bpsite/intervals.html	bp_intervals_table
49/25	BP eighth	The Bohlen-Pierce Site: BP Interval Properties	https://www.huygens-fokker.org/bpsite/intervals.html	bp_intervals_table
15/7	BP ninth	The Bohlen-Pierce Site: BP Interval Properties	https://www.huygens-fokker.org/bpsite/intervals.html	bp_intervals_table
7/3	BP tenth	The Bohlen-Pierce Site: BP Interval Properties	https://www.huygens-fokker.org/bpsite/intervals.html	bp_intervals_table
63/25	BP eleventh	The Bohlen-Pierce Site: BP Interval Properties	https://www.huygens-fokker.org/bpsite/intervals.html	bp_intervals_table
25/9	BP twelfth	The Bohlen-Pierce Site: BP Interval Properties	https://www.huygens-fokker.org/bpsite/intervals.html	bp_intervals_table
3/1	BP thirteenth, or tritave	The Bohlen-Pierce Site: BP Interval Properties	https://www.huygens-fokker.org/bpsite/intervals.html	bp_intervals_table
49/45	BP first (enharmonic)	The Bohlen-Pierce Site: BP Interval Properties	https://www.huygens-fokker.org/bpsite/intervals.html	enharmonics_table_continuation
375/343	BP first (enharmonic)	The Bohlen-Pierce Site: BP Interval Properties	https://www.huygens-fokker.org/bpsite/intervals.html	enharmonics_table_continuation
625/567	BP first (enharmonic)	The Bohlen-Pierce Site: BP Interval Properties	https://www.huygens-fokker.org/bpsite/intervals.html	enharmonics_table_continuation
729/625	BP second	The Bohlen-Pierce Site: BP Interval Properties	https://www.huygens-fokker.org/bpsite/intervals.html	enharmonics_table_class_anchor
147/125	BP second (enharmonic)	The Bohlen-Pierce Site: BP Interval Properties	https://www.huygens-fokker.org/bpsite/intervals.html	enharmonics_table_continuation
405/343	BP second (enharmonic)	The Bohlen-Pierce Site: BP Interval Properties	https://www.huygens-fokker.org/bpsite/intervals.html	enharmonics_table_continuation
