slug	name	expression	value	tradition	note	subgroup_monzo	fjs_name	comma_size	xen_url	cents_min	cents_max	culture	aliases
middleeast_koma	Koma (1/53 octave)	2^(1/53)	1.0131641430249148	Ottoman-Turkish makam theory (53-comma framework)	Single comma step in 53-division pedagogical models.					21	24	Middle Eastern	koma,comma
middleeast_bakiyye	Bakiyye (4 commas)	2^(4/53)	1.053705495203023	Ottoman-Turkish makam theory (53-comma framework)	Common small second in Arel-Ezgi-Uzdilek descriptions.					88	93	Middle Eastern	bakiyye,small semitone
middleeast_kucuk_mucennep	Kucuk Mucennep (5 commas)	2^(5/53)	1.067576625048014	Ottoman-Turkish makam theory (53-comma framework)	Small whole-step class in many makam analyses.					110	116	Middle Eastern	kucuk mucennep
middleeast_buyuk_mucennep	Buyuk Mucennep (6 commas)	2^(6/53)	1.081630356430202	Ottoman-Turkish makam theory (53-comma framework)	Larger neutral-second-like class in many makam analyses.					132	139	Middle Eastern	buyuk mucennep
middleeast_tanini	Tanini (9 commas)	2^(9/53)	1.12491135636339	Ottoman-Turkish makam theory (53-comma framework)	Large whole tone class.					198	208	Middle Eastern	tanini,whole tone
middleeast_ardik_ikili	Artik Ikili (13 commas)	2^(13/53)	1.184081165211497	Ottoman-Turkish makam theory (53-comma framework)	Augmented second class in 53-comma pedagogy.					280	305	Middle Eastern	artik ikili,augmented second
middleeast_arabic_neutral_second	Arabic Neutral Second	2^(150/1200)	1.0905077326652577	Arabic maqam pedagogy (practice-dependent intonation)	Representative neutral second used in many maqam teaching contexts.					140	170	Middle Eastern	three-quarter-tone second,neutral second
middleeast_arabic_neutral_third	Arabic Neutral Third	2^(350/1200)	1.2240535433046553	Arabic maqam pedagogy (practice-dependent intonation)	Representative neutral third used in many maqam teaching contexts.					330	370	Middle Eastern	neutral third
middleeast_sikah_step	Sikah-type Neutral Step	2^(150/1200)	1.0905077326652577	Arabic and Turkish makam practice (contextual)	Common pedagogical proxy for steps around Sikah-oriented jins structures.					140	170	Middle Eastern	sikah step
middleeast_small_tone	Small Tone	10/9	1.1111111111111112	Arabic maqam and Persian dastgah pedagogies	Small whole-tone class used in interval descriptions.					175	190	Middle Eastern	small tone
middleeast_large_tone	Large Tone	9/8	1.125	Arabic maqam and Persian dastgah pedagogies	Large whole-tone class used in interval descriptions.					198	210	Middle Eastern	large tone
middleeast_persian_koron_step	Koron-Altered Step	2^(150/1200)	1.0905077326652577	Persian dastgah pedagogy (practice-dependent intonation)	Representative interval class associated with koron-inflected scale degrees.					135	170	Middle Eastern	koron interval
middleeast_persian_sori_step	Sori-Altered Step	2^(250/1200)	1.155352696872273	Persian dastgah pedagogy (practice-dependent intonation)	Representative interval class associated with sori-inflected scale degrees.					230	270	Middle Eastern	sori interval
