slug	name	expression	value	tradition	note	subgroup_monzo	fjs_name	comma_size	xen_url	cents_min	cents_max	culture	aliases
world_turkish_koma_1	Koma (1 comma)	2^(22.641509434/1200)	1.0131641430249148	Ottoman-Turkish makam interval classes (53-comma framework)	Smallest canonical comma unit in 53-comma descriptions.					21	24	Middle Eastern	koma
world_turkish_eksik_bakiye_3	Eksik Bakiyye (3 commas)	2^(67.924528302/1200)	1.0400145943351959	Ottoman-Turkish makam interval classes (53-comma framework)	Interval class used in some Arel-Ezgi-Uzdilek analyses.					65	71	Middle Eastern	eksik bakiyye
world_turkish_bakiye_4	Bakiyye (4 commas)	2^(90.566037736/1200)	1.0537054952030229	Ottoman-Turkish makam interval classes (53-comma framework)	Canonical small semitone class in Turkish theory.					88	93	Middle Eastern	bakiyye
world_turkish_kucuk_mucennep_5	Kucuk Mucennep (5 commas)	2^(113.20754717/1200)	1.0675766250480141	Ottoman-Turkish makam interval classes (53-comma framework)	Small neutral-second class.					110	116	Middle Eastern	kucuk mucennep
world_turkish_buyuk_mucennep_8	Buyuk Mucennep (8 commas)	2^(181.132075472/1200)	1.1102952706210480	Ottoman-Turkish makam interval classes (53-comma framework)	Large neutral-second class.					176	186	Middle Eastern	buyuk mucennep
world_turkish_tanini_9	Tanini (9 commas)	2^(203.773584906/1200)	1.1249113563633899	Ottoman-Turkish makam interval classes (53-comma framework)	Canonical large tone class.					198	208	Middle Eastern	tanini
world_turkish_artik_ikili_12	Artik Ikili (12 commas)	2^(271.698113208/1200)	1.1699242279513258	Ottoman-Turkish makam interval classes (53-comma framework)	Augmented-second class (12-comma reading).					265	278	Middle Eastern	artik ikili
world_turkish_artik_ikili_13	Artik Ikili (13 commas)	2^(294.339622642/1200)	1.1853252778163901	Ottoman-Turkish makam interval classes (53-comma framework)	Augmented-second class (13-comma reading).					286	300	Middle Eastern	artik ikili
world_arabic_quarter_tone_50	Quarter-tone Step	2^(50/1200)	1.0293022366434921	Arabic maqam interval practice (context-dependent intonation)	Pedagogical quarter-tone step used in many modern descriptions.					45	55	Middle Eastern	quarter tone
world_arabic_minor_second_95	Minor Second (~95c)	2^(95/1200)	1.0564076593011920	Arabic maqam interval practice (context-dependent intonation)	One common small second value referenced in jins Saba discussions.					90	105	Middle Eastern	small second
world_arabic_semitone_100	Semitone (~100c)	2^(100/1200)	1.0594630943592953	Arabic maqam interval practice (context-dependent intonation)	Equal-tempered semitone reference used comparatively in maqam pedagogy.					95	110	Middle Eastern	semitone
world_arabic_saba_small_medium_140	Saba Small Medium Second (~140c)	2^(140/1200)	1.0842268703014184	Arabic maqam interval practice (context-dependent intonation)	Contextual medium-second class appearing in jins Saba analyses.					130	150	Middle Eastern	jins saba second
world_arabic_neutral_second_150	Neutral Second (~150c)	2^(150/1200)	1.0905077326652577	Arabic maqam interval practice (context-dependent intonation)	Widely cited neutral-second class in maqam pedagogy.					140	170	Middle Eastern	three-quarter-tone second
world_arabic_saba_large_medium_160	Saba Large Medium Second (~160c)	2^(160/1200)	1.0968249796946259	Arabic maqam interval practice (context-dependent intonation)	Contextual medium-second class appearing in jins Saba analyses.					150	175	Middle Eastern	jins saba second
world_arabic_whole_tone_200	Whole Tone (~200c)	2^(200/1200)	1.1224620483093730	Arabic maqam interval practice (context-dependent intonation)	Large tone class used in many maqam constructions.					190	210	Middle Eastern	tone
world_arabic_hijaz_aug2_300	Hijaz Augmented Second (~300c)	2^(300/1200)	1.1892071150027210	Arabic maqam interval practice (context-dependent intonation)	Characteristic augmented-second span associated with Hijaz-family ajnas.					280	320	Middle Eastern	hijaz second
world_arabic_neutral_third_350	Neutral Third (~350c)	2^(350/1200)	1.2240535433046553	Arabic maqam interval practice (context-dependent intonation)	Widely cited neutral-third class in maqam pedagogy.					330	370	Middle Eastern	neutral third
world_persian_koron_adjustment_40	Koron Adjustment (~40c)	2^(40/1200)	1.0233738919967750	Persian dastgah interval practice (context-dependent intonation)	Koron lowers a note by roughly a quarter-step in modern notation practice.					30	50	Middle Eastern	koron
world_persian_sori_adjustment_40	Sori Adjustment (~40c)	2^(40/1200)	1.0233738919967750	Persian dastgah interval practice (context-dependent intonation)	Sori raises a note by roughly a quarter-step in modern notation practice.					30	50	Middle Eastern	sori
world_persian_neutral_second_150	Persian Neutral Second (~150c)	2^(150/1200)	1.0905077326652577	Persian dastgah interval practice (context-dependent intonation)	Common neutral-second class in dastgah pedagogy.					135	170	Middle Eastern	neutral second
world_persian_neutral_third_350	Persian Neutral Third (~350c)	2^(350/1200)	1.2240535433046553	Persian dastgah interval practice (context-dependent intonation)	Common neutral-third class in dastgah pedagogy.					330	370	Middle Eastern	neutral third
world_byzantine_leimma_8	Leimma (8 moria)	2^(133.333333333/1200)	1.0800597388923061	Byzantine chant interval classes (moria / 72-division framing)	Small tone class in 72-moria descriptions.					128	138	Byzantine	leimma
world_byzantine_elasson_tonos_10	Elasson Tonos (10 moria)	2^(166.666666667/1200)	1.1010567954531429	Byzantine chant interval classes (moria / 72-division framing)	Minor tone class in 72-moria descriptions.					160	173	Byzantine	minor tone
world_byzantine_meizon_tonos_12	Meizon Tonos (12 moria)	2^(200/1200)	1.1224620483093730	Byzantine chant interval classes (moria / 72-division framing)	Major tone class in 72-moria descriptions.					195	205	Byzantine	major tone
world_slendro_step	Slendro Step (approx.)	2^(240/1200)	1.1486983549970351	Indonesian gamelan tuning practice (slendro/pelog, region-specific embat)	Slendro is often described as five roughly equal steps per octave; exact tuning varies by ensemble.					220	260	Indonesian	slendro
world_slendro_two_steps	Slendro Two-Step Span (approx.)	2^(480/1200)	1.3195079107728942	Indonesian gamelan tuning practice (slendro/pelog, region-specific embat)	Two-step span in slendro-derived analyses; highly ensemble-dependent.					440	520	Indonesian	slendro span
world_slendro_three_steps	Slendro Three-Step Span (approx.)	2^(720/1200)	1.5157165665103980	Indonesian gamelan tuning practice (slendro/pelog, region-specific embat)	Three-step span in slendro-derived analyses; highly ensemble-dependent.					660	780	Indonesian	slendro span
world_pelog_small_step	Pelog Small Step (approx.)	2^(120/1200)	1.0717734625362931	Indonesian gamelan tuning practice (slendro/pelog, region-specific embat)	Pelog contains uneven steps; this captures a common small-step class used in pedagogy.					90	150	Indonesian	pelog small
world_pelog_medium_step	Pelog Medium Step (approx.)	2^(240/1200)	1.1486983549970351	Indonesian gamelan tuning practice (slendro/pelog, region-specific embat)	Pelog medium-step class used in comparative analyses.					180	270	Indonesian	pelog medium
world_pelog_large_step	Pelog Large Step (approx.)	2^(360/1200)	1.2311444133449163	Indonesian gamelan tuning practice (slendro/pelog, region-specific embat)	Pelog large-step class used in comparative analyses.					300	420	Indonesian	pelog large
world_gamelan_kempyung	Kempyung (approx. fifth)	3/2	1.5000000000000000	Indonesian gamelan tuning practice (slendro/pelog, region-specific embat)	Kempyung is commonly treated as a fifth-like consonant relation in gamelan discourse.					650	760	Indonesian	kempyung
world_gamelan_gembyang	Gembyang (octave)	2/1	2.0000000000000000	Indonesian gamelan tuning practice (slendro/pelog, region-specific embat)	Gembyang denotes octave equivalence in gamelan practice.					1200	1200	Indonesian	gembyang
world_thai_seven_tone_step_1	Thai Seven-Tone Step 1	2^(171.428571429/1200)	1.1040895136738123	Thai classical heptatonic equal-step pedagogy (approximate)	Derived from the common pedagogical model of seven near-equal steps per octave; actual practice varies.					159.429	183.429	Thai	seven-tone equal step
world_thai_seven_tone_step_2	Thai Seven-Tone Step 2	2^(342.857142857/1200)	1.2190136542044754	Thai classical heptatonic equal-step pedagogy (approximate)	Derived from the common pedagogical model of seven near-equal steps per octave; actual practice varies.					330.857	354.857	Thai	seven-tone equal step
world_thai_seven_tone_step_3	Thai Seven-Tone Step 3	2^(514.285714286/1200)	1.3459001926323562	Thai classical heptatonic equal-step pedagogy (approximate)	Derived from the common pedagogical model of seven near-equal steps per octave; actual practice varies.					502.286	526.286	Thai	seven-tone equal step
world_thai_seven_tone_step_4	Thai Seven-Tone Step 4	2^(685.714285714/1200)	1.4859942891369484	Thai classical heptatonic equal-step pedagogy (approximate)	Derived from the common pedagogical model of seven near-equal steps per octave; actual practice varies.					673.714	697.714	Thai	seven-tone equal step
world_thai_seven_tone_step_5	Thai Seven-Tone Step 5	2^(857.142857143/1200)	1.6406707120152759	Thai classical heptatonic equal-step pedagogy (approximate)	Derived from the common pedagogical model of seven near-equal steps per octave; actual practice varies.					845.143	869.143	Thai	seven-tone equal step
world_thai_seven_tone_step_6	Thai Seven-Tone Step 6	2^(1028.571428571/1200)	1.8114473285278134	Thai classical heptatonic equal-step pedagogy (approximate)	Derived from the common pedagogical model of seven near-equal steps per octave; actual practice varies.					1016.571	1040.571	Thai	seven-tone equal step
world_lu_huangzhong	Huangzhong	1/1	1.0000000000000000	Chinese 12 lü pitch-pipe system (sanfen sunyi / cycle-of-fifths lineage)	Reference lü in many historical lists.							Chinese	huangzhong
world_lu_dalu	Dalu	2187/2048	1.0678710937500000	Chinese 12 lü pitch-pipe system (sanfen sunyi / cycle-of-fifths lineage)	Derived lü in fifth-cycle constructions.							Chinese	dalu
world_lu_taicu	Taicu	9/8	1.1250000000000000	Chinese 12 lü pitch-pipe system (sanfen sunyi / cycle-of-fifths lineage)	Tone-class lü in fifth-cycle constructions.							Chinese	taicu
world_lu_jiazhong	Jiazhong	19683/16384	1.2013549804687500	Chinese 12 lü pitch-pipe system (sanfen sunyi / cycle-of-fifths lineage)	Derived lü in fifth-cycle constructions.							Chinese	jiazhong
world_lu_guxi	Guxi	81/64	1.2656250000000000	Chinese 12 lü pitch-pipe system (sanfen sunyi / cycle-of-fifths lineage)	Derived lü in fifth-cycle constructions.							Chinese	guxi
world_lu_zhonglu	Zhonglu	177147/131072	1.3515243530273438	Chinese 12 lü pitch-pipe system (sanfen sunyi / cycle-of-fifths lineage)	Derived lü in fifth-cycle constructions.							Chinese	zhonglu
world_lu_ruibin	Ruibin	729/512	1.4238281250000000	Chinese 12 lü pitch-pipe system (sanfen sunyi / cycle-of-fifths lineage)	Derived lü in fifth-cycle constructions.							Chinese	ruibin
world_lu_linzhong	Linzhong	3/2	1.5000000000000000	Chinese 12 lü pitch-pipe system (sanfen sunyi / cycle-of-fifths lineage)	Fifth-equivalent lü in the cycle.							Chinese	linzhong
world_lu_yize	Yize	6561/4096	1.6018066406250000	Chinese 12 lü pitch-pipe system (sanfen sunyi / cycle-of-fifths lineage)	Derived lü in fifth-cycle constructions.							Chinese	yize
world_lu_nanlu	Nanlu	27/16	1.6875000000000000	Chinese 12 lü pitch-pipe system (sanfen sunyi / cycle-of-fifths lineage)	Derived lü in fifth-cycle constructions.							Chinese	nanlu
world_lu_wuyi	Wuyi	59049/32768	1.8020324707031250	Chinese 12 lü pitch-pipe system (sanfen sunyi / cycle-of-fifths lineage)	Derived lü in fifth-cycle constructions.							Chinese	wuyi
